Bereich;Schlüssel;Untergruppe;Name;Bezeichnung;Beschreibung;Deploy6 (<Alle>);Test6 (<Alle>);Identisch
ausgabesteuerung;uploadpath;Ausgabesteuerung - Allgemeines;UPLOADPATH;Datei-Uploadverzeichnis;"Upload-Verzeichnis für Dateianhänge. Wird verwendet für die Aufgabe ""Datei hochladen"" in der Ausgabedefinition. Hierbei
ist der absolute Pfad anzugeben (z.B.: D:\Programme\APplus\Deploy6\AppServer\Upload).";;;true 2
automotive;abrufdatumart;Automotive - Lieferabruf;ABRUFDATUMART;Abrufdatumart;Art eines Abrufdatums.;0:Termin,1:kein Bedarf,2:Rückstand,3:Sofortbedarf,4:Vorschau,5:Zeitraum,6:Monat,7:Woche,8:Rest;0:Termin,1:kein Bedarf,2:Rückstand,3:Sofortbedarf,4:Vorschau,5:Zeitraum,6:Monat,7:Woche,8:Rest;true 2
automotive;aenderungsschluesselpab;Automotive - Produktionssynchroner Abruf;AENDERUNGSSCHLUESSELPAB;Änderungsschlüssel des produktionssynchronen Abrufs;;_ ohne Änderung,Z neuer Satz (erster Zugang),A Änderung,L Löschung/Storno,N Nachbestellung (Kopie),D bereits geliefert,T Test/keine Lieferung;_ ohne Änderung,Z neuer Satz (erster Zugang),A Änderung,L Löschung/Storno,N Nachbestellung (Kopie),D bereits geliefert,T Test/keine Lieferung;true 2
automotive;anlieferungsintervallschluessellab;Automotive - Lieferabruf;ANLIEFERUNGSINTERVALLSCHLUESSELLAB;Anlieferungs-Intervall-Schlüssel;Anlieferungs-Intervall-Schlüssel mit Bezeichnung.;L lt. Abrufdatum,T täglich,W wöchentlich,M monatl./Kd.-Tab.;L lt. Abrufdatum,T täglich,W wöchentlich,M monatl./Kd.-Tab.;true 2
automotive;artikelverpackung;Automotive - Rechnungsausgang;ARTIKELVERPACKUNG;Artikelnummer;Artikelnummer der Verpackungskostenpositionen.;;;true 2
automotive;artikelversand;Automotive - Rechnungsausgang;ARTIKELVERSAND;Artikelnummer;Artikelnummer der Versandkostenpositionen.;;;true 2
automotive;automotivepath;Automotive - Allgemeines;AUTOMOTIVEPATH;Verzeichnis für die Ablage von Nachrichtendateien;Verzeichnis für die Ablage von Nachrichtendateien. In diesem Verzeichnis werden ein- und ausgehende Nachrichtendateien abgelegt, falls man die Nachrichten nicht über WebServices austauscht.;C:\automotive;C:\automotive;true 2
automotive;ba_vorgang;Automotive - Gutschriftanzeige;BA_VORGANG;Vorgangsschlüssel Belastungsanzeigen (BA);Vorgangsschlüssel für Belastungsanzeigen (BA) mit Bezeichnung.;02 Korrektur Wareneingang,03 Rücksendung,05 Transportschaden,140 Warenrückgabe,AAA Korrektur Wareneingang,AAB Transportschaden,383 Belastungsanzeige (VDA 4938);02 Korrektur Wareneingang,03 Rücksendung,05 Transportschaden,140 Warenrückgabe,AAA Korrektur Wareneingang,AAB Transportschaden,383 Belastungsanzeige (VDA 4938);true 2
automotive;bestandschluesselfab;Automotive - Feinabruf;BESTANDSCHLUESSELFAB;Bestand-Schlüssel;Bestand-Schlüssel mit Bezeichnung.;_ ohne Angaben,K kritischer Bestand;_ ohne Angaben,K kritischer Bestand;true 2
automotive;canchangeedipartnerkeyvalues;Automotive - Allgemeines;CANCHANGEEDIPARTNERKEYVALUES;Ändern von Schlüsselfelder des EDI-Partners erlauben;"Folgende Felder dürfen im EDI-Partner geändert werden, obwohl abhängige Bewegungsdaten (Rahmenverträge, Lieferabrufe u.s.w.) zu diesem EDI-Partner existieren:<br>
1. LIEFERANTENNR<br>
2. KUNDENNR<br>
3. STANDORT";false;false;true 2
automotive;checkfieldsonstatus;Automotive - Transport/LS - Ausgehender Transport;CHECKFIELDSONSTATUS;Prüfung auf Nullwerte bestimmter Merkmale (Felder);"Hier können Feldnamen aus der Tabelle TRANSPORTOUT zusammen mit einem STATUS-Wert angegeben werden z.B. 2:UEBERGABEZEIT.
Vor jeder Status-Änderung wird eine Methode aufgerufen, die diese SysConf-Liste auswertet und abhängig vom Status (hier:2=Entnahme) einen Fehler wirft, falls das Feld (hier: Übergabezeit) nicht leer sein darf.";2:UEBERGABEZEIT,2:EINTREFFZEIT;2:UEBERGABEZEIT,2:EINTREFFZEIT;true 2
automotive;checkrechnungoutonsend;Automotive - Rechnungsausgang;CHECKRECHNUNGOUTONSEND;Ausgehende Rechnung beim Versenden auf MUSS-Felder prüfen;"Hier können die Namen von den Tags in GROSSBUCHSTABEN, die in ""EDIRechnungOutboundDocument.xsl"" vorhanden sind wie z.B. ""rechnungNr"" angegeben werden. Wird unten genannte Methode mit dem Tag-Name aufgerufen, so wird in der SysConf-Liste der XML-Tag-Name gesucht und ein Fehler geworfen, falls der Tag (hier: ""RECHNUNGNR"") gefunden und es sich somit um ein MUSS(FELD) handelt.
Die Methode prüft, ob bestimmte Felder beim Versenden der ausgehenden Rechnung gefüllt sein müssen und wird nur dann aufgerufen, falls das XMLTag keinen Text hat und der SysConf-Schalter VERSIONIERTENACHRICHTEN eingeschaltet wurde. Diese Prüfung ist dann sinnvoll, wenn das automatische Prüfen anhand der XSL-Kommentare ausgeschaltet wurde (EDIPARTNER.EDIEXPORTCHECK = false) und zusätzliche für die VDA 4938 erforderlichen Daten übermittelt werden müssen.";RECHNUNGNR;RECHNUNGNR;true 2
automotive;confirminbounddoc;Automotive - Allgemeines;CONFIRMINBOUNDDOC;Quittierung des Erfolg eines Nachrichten-Eingangs;Beim Einlesen einer versionierten EDI-Nachricht wird ein kleines XML-Dokument erzeugt, dass entweder an den entsprechenden Mapping-Partner gesendet und/oder nur im XMLDataOut-Verzeichnis gespeichert werden kann.;4;4;true 2
automotive;datenquelle;Automotive - Transport/LS - Ausgehender Transport;DATENQUELLE;Standard-Datenquelle;Legt fest, welche Datenquelle beim Erstellen von Lieferscheinpositionen verwendet werden soll. Die Einstellung 'Dialog' ermöglicht, dass diese Zuordnung erst beim Anlegen einer LS-Pos. zu treffen ist. DATENQUELLE wird durch eine vorgenommene Einstellung im EDI-Partner Partner spezifisch übersteuert.;L;L;true 2
automotive;datumartlsout;Automotive - Transport/LS;DATUMARTLSOUT;Datumart;Datumart-Schlüssel mit Bezeichnung.;P Produktionsdatum,D Versanddatum,U Ablaufdatum;P Produktionsdatum,D Versanddatum,U Ablaufdatum;true 2
automotive;deviationqtyfromscheduledqty;Automotive - Transport/LS - Eingehender Transport;DEVIATIONQTYFROMSCHEDULEDQTY;Abweichung in % der Liefermenge von der Abrufmenge (Wareneingang);"wird dieser Prozentsatz überschritten dann wird <br>
1.beim Erzeugen eines Wareneingangs aus einer eingehenden Transportposition <br>
a) eine Warnung protokolliert und <br>
b) im Falle der Überlieferung nach einer weiteren gesendeten Rahmenvertragsposition mit dem gleichen Abrufdatum gesucht und die Restmenge (Liefermenge - Abrufmenge der 1. Position)auf die weitere(n) Position(en)gebucht.
";5;5;true 2
automotive;edipartnersuche;Automotive - Allgemeines;EDIPARTNERSUCHE;Kriterien bei der Suche des EDI-Partners<br> Folgende Suchkriterien können bei Bedarf der Liste hinzugefügt werden:<br><br> 3: LIEFERANTENNR-WERKKUNDE-ABLADESTELLE<br> 4: LIEFERANTENNR-KUNDENNR-WERKKUNDE<br> 5: LIEFERANTENNR-WERKKUNDE<br> 1: LIEFERANTENNR-EDIPARTNER-WERKKUNDE-<br>ABLADESTELLE<br> 0: EDIPARTNER-WERKKUNDE-ABLADESTELLE;"Beim Suchen des passenden EDI-Partners zu einem ""Automotive""-Objekt (z.B. eingehender Lieferabruf) wird nun eine Methode aufgerufen, die in einer hier festgelegten Reihenfolge nach bestimmten Kriterien den EDI-Partner sucht. Falls der EDI-Partner über diese Kriterien nicht gefunden wird, dann wird mittels den Such-Kriterien des nächsten Listen-Eintrags gesucht. Die Priorisierung der Suchkriterien erfolgt durch Verschieben der Einträge (Auf- und Ab-Buttons) in der SysConf. Die Werte (Zahl und Kriterien) dürfen allerdings <b>nicht geändert</b> werden.<br>
Es werden ggf. Warnungen und Fehler bei der Suche protokolliert.";2: LIEFERANTENNR-KUNDENNR-WERKKUNDE-ABLADESTELLE;2: LIEFERANTENNR-KUNDENNR-WERKKUNDE-ABLADESTELLE;true 2
automotive;edlvkkonsi_bookwe;Automotive - EDL (Externer Dienstleister);EDLVKKONSI_BOOKWE;Wareneingänge zu EDL-Warenausgängen auf VK-Konsignationslager automatisch buchen;"Ist der Kenner gesetzt, werden Wareneingänge auf VK-Konsignationslager nach der Entnahme auf EDL-Warenausgänge vom Typ ""VK-Konsignation"" automatisch gebucht. Die Transferzeit wird dabei nicht ausgewertet. Ist der Kenner nicht gesetzt, wird die Einstellung ""Wareneingang automatisch buchen"" aus der Transferzeit ausgewertet.";true;true;true 2
automotive;erzverp;Automotive - Rechnungsausgang;ERZVERP;Verpackungskostenpositionen anlegen;Die Verpackungskostenpositionen werden angelegt, die angegebene Artikelgruppe und Artikelnummer wird eingetragen.;false;false;true 2
automotive;erzvers;Automotive - Rechnungsausgang;ERZVERS;Versandkostenpositionen anlegen;Die Versandkostenpositionen werden angelegt, die angegebene Artikelgruppe und Artikelnummer wird eingetragen.;false;false;true 2
automotive;fabprocessafterimport;Automotive - Feinabruf;FABPROCESSAFTERIMPORT;Feinabruf einlesen und Rahmenvertrag zuordnen;"Dieser Kenner wird standardmäßig gesetzt, so dass beim Einlesen eines Feinabrufs automatisch ein Rahmenvertrag zugeordnet wird.
Ist er nicht gesetzt, werden Feinabrufe lediglich eingelesen und verbleiben im Status 3 (angelegt/eingelesen).";true;true;true 2
automotive;frankaturschluessel;Automotive - Transport/LS;FRANKATURSCHLUESSEL;Frankatur-Schlüssel;Frankatur-Schlüssel mit Bezeichnung.;01 unfrei,02 frei Bestimmungsort,03 frei Haus,04 frei deutsche Grenze,05 frei Empfangsspediteur,99 Sonderfrankatur;01 unfrei,02 frei Bestimmungsort,03 frei Haus,04 frei deutsche Grenze,05 frei Empfangsspediteur,99 Sonderfrankatur;true 2
automotive;ga_status;Automotive - Gutschriftanzeige;GA_STATUS;Status;Statusarten der Gutschriftanzeige.;angelegt/eingelesen,komplettiert,zugeordnet,in Rechnung;angelegt/eingelesen,komplettiert,zugeordnet,in Rechnung;true 2
automotive;ga_verfahren;Automotive - Gutschriftanzeige;GA_VERFAHREN;Gutschrift-Anzeige-Verfahren;Gutschrift-Anzeige-Verfahren;0 kein GA-Verfahren,1 Zuordnung über Lieferschein,2 Zuordnung über EDL-Entnahme,3 FIFO-Prinzip ohne EDL,4 FIFO-Prinzip mit EDL;0 kein GA-Verfahren,1 Zuordnung über Lieferschein,2 Zuordnung über EDL-Entnahme,3 FIFO-Prinzip ohne EDL,4 FIFO-Prinzip mit EDL;true 2
automotive;ga_vorgang;Automotive - Gutschriftanzeige;GA_VORGANG;Vorgangsschlüssel Gutschriftanzeigen (GA);Vorgangsschlüssel für Gutschriftanzeigen (GA) mit Bezeichnung.;01 Wareneingang,04 Konsignationsmaterial,67 Lieferung mit Änderung der Eigentumsverhältnisse,69 Supply for consignment,381 Gutschriftanzeige (VDA 4938);01 Wareneingang,04 Konsignationsmaterial,67 Lieferung mit Änderung der Eigentumsverhältnisse,69 Supply for consignment,381 Gutschriftanzeige (VDA 4938);true 2
automotive;ga_zahlungsart;Automotive - Gutschriftanzeige;GA_ZAHLUNGSART;Zahlungsart;Zahlungsarten.;0 Ungeklärt,1 Scheck,2 Überweisung,3 Wechsel,4 Scheck/Wechsel,5 Verrechnung Debitoren,6 Elektronische Überweisung;0 Ungeklärt,1 Scheck,2 Überweisung,3 Wechsel,4 Scheck/Wechsel,5 Verrechnung Debitoren,6 Elektronische Überweisung;true 2
automotive;ga_zziel;Automotive - Gutschriftanzeige;GA_ZZIEL;Zahlungsziel;Anzahl der Tage, innerhalb derer nach Ausgang eines Lieferscheins der Eingang einer Gutschriftanzeige erwartet wird.;-1;-1;true 2
automotive;hastsbgenerator;Automotive - Transport/LS - Ausgehender Transport;HASTSBGENERATOR;TSB-Generator Volkswagen AG ist installiert;"Die Anwendung ""TSB-Generator"" der Volkswagen AG ist in dem Verzeichnis oberhalb der von APplus erzeugten VDA-Datei erfolgreich installiert worden.";false;false;true 2
automotive;horizontreservierung;Automotive - Lieferabruf - Eingehender Lieferabruf;HORIZONTRESERVIERUNG;Reservierungshorizont;Legt fest, welcher Reservierungshorizont für die Lieferabruf-Termine gelten soll.;U;U;true 2
automotive;horizontreservierungmonate;Automotive - Lieferabruf - Eingehender Lieferabruf;HORIZONTRESERVIERUNGMONATE;Reservierungshorizont in Monaten;Diese Einstellung ist nur wirksam, wenn der Reservierungshorizont (HORIZONTRESERVIERUNG) entweder auf Einstellung Systemparameter oder auf Fertigungs- oder Materialfreigabe Lieferabruf gestellt wurde. Bei Fertigungs- oder Materialfreigabe Lieferabruf greift die Einstellung nur dann, wenn im Lieferabruf kein Wert im entspr. Feld angegeben wurde.;0;0;true 2
automotive;ignoreedidatacheck;Automotive - Allgemeines;IGNOREEDIDATACHECK;Prüfung der EDI-Daten beim Import;;0: Prüfung,1: keine Prüfung,2: Prüfung nur der Mussfelder;0: Prüfung,1: keine Prüfung,2: Prüfung nur der Mussfelder;true 2
automotive;ignoremaxlelsnr;Automotive - Lieferabruf - Eingehender Lieferabruf;IGNOREMAXLELSNR;Bei Transfermengenberechnung nach letzter Lieferschein-Nummer die Suche nach höchster Lieferschein-Nummer ignorieren;;false;false;true 2
